model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.8268617021276595,0.05923259726233293,0.8491010134030729,0.0860998182394586,0.7692640692640693,0.09621303424301023,0.8019589624467673,0.06822319694632348,0.8701351981351981,0.06820397528131224
Random Forest,0.8101950354609929,0.07469906764280859,0.8326719576719578,0.1107499168293746,0.7601731601731602,0.12702806533551012,0.7843821021570248,0.08264402668716547,0.8896646686646689,0.05429908267453031
Decision Tree,0.7292553191489362,0.0977842907461342,0.7417297424162412,0.15692895045017313,0.6787878787878787,0.10382934363037465,0.7002303523035229,0.09417657673516906,0.7255477855477855,0.0954491450040691
